gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Slc7a7,1.2866380557855428,1.9373691994811114e-07,-1.18380917648462,0.780549422043064,True,False,False
Oxa1l,0.06148564755511325,0.9180778637830781,-0.526974018239128,1.0,False,False,False
Heatr6,-0.09791432780960004,0.8664725052536857,-0.252451139046301,0.998929231587758,False,False,False
Ccl3,-0.6332574937967422,0.20176246599273517,-0.224374398984125,0.998929231587758,False,False,False
Icam4,-0.015074313176190528,0.9935107190873353,-0.0836286509969977,0.998929231587758,False,False,False
Ilf2,-0.0014486455800784034,0.9972847078810462,-0.015307728617441,0.999942156951861,False,False,False
Chtop,0.07966636178863122,0.8865247703862745,0.111461135970722,0.998929231587758,False,False,False
Snapin,0.037637413503756434,0.949542862139286,-0.132458051096402,0.998929231587758,False,False,False
S100a4,-1.3797507029193534,2.0507352324798535e-07,0.183424265802152,0.998929231587758,True,False,False
S100a6,0.07480305361108797,0.9318201967667079,-0.551426198502363,0.998929231587758,False,False,False
Icam2,-0.05538329392853182,0.9578621997843816,-0.674698357619482,0.998929231587758,False,False,False
Mapk7,0.057931593767358555,0.9528592718178809,-0.175453209393291,0.998929231587758,False,False,False
B9d1,0.05595312685926074,0.9664289875144002,-0.345492837652367,0.998929231587758,False,False,False
Sec24b,0.06907118196260136,0.9200262708343792,0.361419512317064,0.998929231587758,False,False,False
N4bp3,-0.6392731915951736,0.4814372216738193,0.075506348228032,0.998929231587758,False,False,False
Rmnd5b,0.1582231177828772,0.7289053852513006,-0.314641401373849,0.998929231587758,False,False,False
Nhp2,0.10997801857238872,0.8429748480285194,0.281244068622327,0.998929231587758,False,False,False
Vps9d1,-9.015054284891265e-05,0.9998081101197946,0.0188853287748874,0.999942156951861,False,False,False
Zfp276,-0.1351286341253881,0.8397448255169122,-0.319372350084159,0.998929231587758,False,False,False
Mfsd10,0.0673234830426907,0.913443125400896,-0.325649865751165,1.0,False,False,False
Luzp1,0.2632991019118142,0.6469362623274335,-0.469341187794896,0.998929231587758,False,False,False
Kctd10,0.06440963670684521,0.9207350933201467,0.180847883595821,0.998929231587758,False,False,False
Poldip2,0.1679560498489201,0.726616647868274,0.090450313187465,0.998929231587758,False,False,False
Lgals9,0.053469825488140665,0.9519668430315947,-0.421387970897973,0.998929231587758,False,False,False
Araf,0.07746392539775836,0.8695821968401434,-0.57192779111391,0.998929231587758,False,False,False
Cfp,-0.7765934358578954,0.00530423203377273,0.75471510115234,0.998929231587758,True,False,False
Cnnm3,-0.23812833684165963,0.7336373837276224,-0.136959418704732,0.998929231587758,False,False,False
Lman2l,0.2799934662083019,0.5923516771763094,-0.270565992774707,0.998929231587758,False,False,False
Mcm3ap,-0.19833643553659927,0.808750301715959,-0.39647334067913,0.998929231587758,False,False,False
Pcnt,-0.2288431953928213,0.6779063171721535,-0.153208414521872,0.998929231587758,False,False,False
Gmcl1,-0.018624057111530597,0.9820126852212736,-0.201273510050544,0.998929231587758,False,False,False
Snrnp27,0.17388351380707132,0.7747914617737625,-0.31374691464594,0.998929231587758,False,False,False
Ocrl,-0.3257807134299552,0.7696133492729229,-0.408575744864552,0.998929231587758,False,False,False
Calm1,0.3430409170971166,0.37261213031140844,0.559879890698269,0.998929231587758,False,False,False
Agpat3,0.20194780405618784,0.5855410976157361,0.211096388370358,0.998929231587758,False,False,False
Sema6b,0.11270816447985933,0.9702473703098962,-0.293555862168829,0.998929231587758,False,False,False
Uhrf1,-0.0717952929695405,0.9331755797636481,-0.0338745353833545,0.998929231587758,False,False,False
Dpp9,0.03729865496149226,0.9603653429148943,-0.233184119943566,0.998929231587758,False,False,False
Ramp2,-1.4023854847175505,0.6407692591192271,-0.0571495484070308,1.0,False,False,False
Hpn,1.8900616291914907,0.12341256799717204,-1.07073546457321,1.0,False,False,False
Ckb,0.31221525757586777,0.31129935214607285,-0.360780113605969,0.998929231587758,False,False,False
Itgb7,0.24961207329898882,0.5910705794638189,-0.436105646849081,0.998929231587758,False,False,False
Myg1,-0.11029427510929407,0.8439444330206803,-0.0910911235941132,0.998929231587758,False,False,False
Rarg,0.27494098179320225,0.8922702040180572,-0.690796639537645,0.998929231587758,False,False,False
Pfdn5,-0.08494767530287757,0.9153766184986462,0.100197981679822,0.998929231587758,False,False,False
Efnb2,0.23876108611013175,0.9039796811431363,-0.347151976509961,0.998929231587758,False,False,False
Rnd2,0.671828334683244,0.7168971905164181,-0.138417502491184,0.998929231587758,False,False,False
Fndc5,0.4556044528410023,0.2631947132030837,-0.38975887504355,0.998929231587758,False,False,False
Acp5,0.23250034244177892,0.669300434374747,-0.128387745145404,0.998929231587758,False,False,False
Fbxo9,-0.08766295709796493,0.9012839716845592,-0.0333554228972917,0.999266266567793,False,False,False
Vps50,0.1424017894092664,0.8373869461727518,-0.463303723310375,1.0,False,False,False
Zmat2,0.05264802379602163,0.936584095207561,0.0866687181556305,0.998929231587758,False,False,False
Smg5,-0.13690268092579466,0.8033217251301016,-0.136001232172534,0.998929231587758,False,False,False
Glmp,0.27411031306044603,0.28184151842621485,-0.675079095765974,0.998929231587758,False,False,False
Mef2d,0.03469251377733122,0.9594769613983704,-0.120175541052985,0.998929231587758,False,False,False
Tmem79,-0.4137990352380283,0.8213169000124334,-0.488060662408958,0.998929231587758,False,False,False
Snd1,0.3012500051608904,0.35172924002239164,0.124543097797046,0.998929231587758,False,False,False
Slc19a1,0.2476070478587963,0.7939910971124683,-0.387188150453905,0.998929231587758,False,False,False
Kpnb1,-0.2805585572498583,0.748977595762288,-0.0689324048514894,0.998929231587758,False,False,False
Npepps,-0.04564031646451552,0.9511831876182657,-0.169719044370212,0.998929231587758,False,False,False
Tbx21,1.0188189173584816,0.060236675744229404,-0.330489139392246,0.998929231587758,False,False,False
Cyp51,0.19232011028362,0.6724597690497878,-0.0370548628728784,0.998929231587758,False,False,False
Tcf25,0.18397009009342358,0.558249336461235,-0.324988541784741,0.998929231587758,False,False,False
