gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Mx1,-0.18076899292328655,0.523696882325769,-1.25585540842623,0.380767985470953,False,False,False
Fap,1.242165863355816,0.003461696192302738,0.193919428060044,0.999987547004426,True,False,False
Gcg,-0.6566397851272738,0.13252984978805948,0.777348669645924,0.999987547004426,False,False,False
Ndufa9,0.14744514209069126,0.24416944401234356,-0.449877146395183,0.999987547004426,False,False,False
Galnt1,-0.2286718064047799,0.14183365126847047,0.559034242669672,0.999987547004426,False,False,False
Mkrn2,0.2732671063462355,0.19592661337512898,-0.133707513317507,0.999987547004426,False,False,False
Pparg,1.1377518046023967,1.65069142928823e-05,-0.321741600678514,0.999987547004426,True,False,False
Raf1,-0.007965773281271762,0.9725869923464415,-0.0175956055306834,0.999987547004426,False,False,False
Septin1,-0.6551931204627963,0.003615049194340153,-0.222363804980731,0.999987547004426,True,False,False
Pdgfb,-0.4933389407868621,0.03977939590517583,0.196012939036766,0.999987547004426,True,False,False
Tamalin,0.38448409090023533,0.3293302883563294,0.0806053398556639,0.999987547004426,False,False,False
Acvr1b,0.15963571625065512,0.7294190095792671,-0.464829201711146,0.999987547004426,False,False,False
Tom1l2,-0.07238838029831002,0.8461510911361776,-0.313444725686427,0.999987547004426,False,False,False
Zfp385a,0.5893651840707966,0.00011944107572730794,-0.344327480797314,0.999987547004426,True,False,False
Itga5,0.8791063686023908,0.00806276202183565,0.223493934598516,0.999987547004426,True,False,False
Wdr77,0.08921188380472315,0.6406859860856526,-0.285073820145021,0.999987547004426,False,False,False
Adora3,-0.3153003795602229,0.5916110123970835,-0.29004040433203,0.999987547004426,False,False,False
Tmigd3,-0.3153003795602229,0.5916110123970835,-0.493922421757803,0.999987547004426,False,False,False
Hnrnpd,0.04085547238448374,0.8329039300414652,-0.233086270870483,0.999987547004426,False,False,False
Dynlt1c,-0.007901095367918155,0.9796590273505534,0.0050025311011054,0.999987547004426,False,False,False
C1d,0.09064869136632245,0.5132450812540258,-0.111875371234064,0.999987547004426,False,False,False
Gm2a,0.32806647397121735,0.0007516720498671638,-0.352170244593506,0.999987547004426,True,False,False
Krit1,-0.23796690614712196,0.09749856483886032,0.0899970436148489,0.999987547004426,False,False,False
Sema4f,-1.3500422353634192,0.0013451711829696362,0.249853014679122,0.999987547004426,True,False,False
